,0
0,3380752332
1,3380718178
2,3380672585
3,3380616798
4,3380602317
5,3379808522
6,3379754614
7,3379663509
8,3379488022
9,3379207478
10,3379198888
11,3379143554
12,3379127848
13,3379047169
14,3378990484
15,3378114705
16,3377989013
17,3377991612
18,3377914199
19,3377865126
20,3377759646
21,3377762037
22,3377694722
23,3377617963
24,3377592118
25,3377566125
26,3376467364
27,3376401791
28,3376278180
29,3376235408
30,3376166598
31,3376141225
32,3376086206
33,3376100581
34,3376034427
35,3375958456
36,3375963613
37,3374979817
38,3374843885
39,3374765423
40,3374729967
41,3374693078
42,3374606975
43,3374631798
44,3374545825
45,3374469199
46,3374502618
47,3374408853
48,3374375343
49,3374390126
50,3373673831
51,3373653817
52,3373544611
53,3373501495
54,3373412979
55,3373335995
56,3373295536
57,3373290695
58,3373241747
59,3373154551
60,3373090845
61,3372987639
62,3371561954
63,3371446799
64,3371408570
65,3371420954
66,3371308571
67,3371320702
68,3371226562
69,3371208292
70,3369949816
71,3369872335
72,3369768340
73,3369769899
74,3369733395
75,3369676832
76,3369651943
77,3369556210
78,3369518672
79,3369494350
80,3369480538
81,3368006269
82,3367889048
83,3367940187
84,3367814969
85,3367829898
86,3366907745
87,3366891789
88,3366824997
89,3366749560
90,3366752682
91,3366724043
92,3366659512
93,3366604439
94,3366598384
95,3365384095
96,3365307692
97,3365331121
98,3365219133
99,3365212347
100,3380449053
101,3380443966
102,3380430586
103,3380098103
104,3380080948
105,3380024952
106,3379936377
107,3378789154
108,3378777863
109,3378754572
110,3378366242
111,3378370010
112,3378289432
113,3378261246
114,3378202724
115,3377496954
116,3375258705
117,3375171021
118,3373753515
119,3373697989
120,3371779401
121,3371184687
122,3371160438
123,3370177890
124,3368841355
125,3367755151
126,3365835843
127,3365697048
128,3364398945
129,3364359611
130,3364304226
131,3364254463
132,3364216076
133,3364098939
134,3363247694
135,3362429750
136,3362340387
137,3361700023
138,3360808026
139,3360757578
140,3357940026
141,3357876570
142,3356010505
143,3355943965
144,3355930415
145,3354824733
146,3354719728
147,3350672981
148,3350556964
149,3349248690
150,3349251810
151,3348903530
152,3348884999
153,3348798127
154,3348770347
155,3348703137
156,3348672126
157,3348553823
158,3348486571
159,3348442374
160,3348344087
161,3348323624
162,3348190796
163,3347523238
164,3347357923
165,3346794436
166,3346741900
167,3346672909
168,3346582035
169,3346529832
170,3346253477
171,3345595209
172,3345528405
173,3345464091
174,3345179387
175,3345111565
176,3345064838
177,3345000451
178,3344902230
179,3344893472
180,3344696851
181,3344575891
182,3344395960
183,3344215651
184,3344137973
185,3344162272
186,3343697502
187,3343681998
188,3343605339
189,3343568135
190,3343514632
191,3343116556
192,3343080126
193,3343041449
194,3342942074
195,3342098842
196,3342093328
197,3341988493
198,3341314086
199,3341236282
200,3382520525
201,3382461301
202,3382385889
203,3382361021
204,3381437321
205,3381283974
206,3381161924
207,3380909657
208,3379908359
209,3379822873
210,3379651711
211,3379199401
212,3379170511
213,3378980580
214,3378205948
215,3378066560
216,3377936911
217,3377823694
218,3377730390
219,3377644038
220,3377589683
221,3377576407
222,3376824652
223,3376796822
224,3376699063
225,3376690112
226,3376196066
227,3376158200
228,3376143079
229,3376105446
230,3376006710
231,3375564155
232,3375518535
233,3375251853
234,3375114941
235,3374997828
236,3374876993
237,3374656832
238,3374611999
239,3374011360
240,3373883330
241,3373471159
242,3372046504
243,3371954991
244,3371902589
245,3371719423
246,3371689091
247,3370836242
248,3370821558
249,3370607453
250,3370486880
251,3369231516
252,3369159066
253,3369077762
254,3368989125
255,3368867496
256,3368788107
257,3368770169
258,3368606366
259,3368610185
260,3367542175
261,3367478098
262,3367470673
263,3367410272
264,3367256876
265,3367216208
266,3367108519
267,3367091090
268,3367040903
269,3366990582
270,3366931738
271,3366607567
272,3366162884
273,3366087158
274,3366051434
275,3366021734
276,3365904377
277,3364246813
278,3364178970
279,3364054378
280,3363543566
281,3362503999
282,3360889570
283,3360847734
284,3360851321
285,3359695251
286,3359575438
287,3359475407
288,3359401105
289,3357804436
290,3357736507
291,3357628628
292,3357589764
293,3357432638
294,3356085189
295,3382389810
296,3382332305
297,3382227468
298,3382220447
299,3382202197
300,3382088593
301,3382104295
302,3382069911
303,3377800561
304,3377707014
305,3374667177
306,3374690896
307,3374595615
308,3374582228
309,3374565370
310,3374531491
311,3373415661
312,3371115607
313,3370503199
314,3370338344
315,3370216921
316,3370133657
317,3370075374
318,3370007290
319,3369991113
320,3369924384
321,3366809995
322,3366780446
323,3366697212
324,3366168775
325,3365316398
326,3365291115
327,3365201778
328,3365133686
329,3363993716
330,3363904888
331,3362137495
332,3362079371
333,3362111479
334,3362017227
335,3359808998
336,3357204887
337,3357050744
338,3355294807
339,3355198200
340,3355211219
341,3355156727
342,3355129811
343,3355084776
344,3351833189
345,3349074912
346,3348354987
347,3348267590
348,3345995714
349,3345934390
350,3344186542
351,3344027873
352,3340743140
353,3340634258
354,3336679943
355,3335649030
356,3335537789
357,3335540800
358,3333783040
359,3333746126
360,3333656573
361,3330182090
362,3327242136
363,3327173361
364,3327137132
365,3326211201
366,3326135301
367,3324443801
368,3324391052
369,3324357309
370,3324289538
371,3319096637
372,3319023257
373,3318970127
374,3318844315
375,3318618579
376,3318613426
377,3318548467
378,3318424487
379,3318400997
380,3318358655
381,3318365100
382,3317791343
383,3317707831
384,3317710579
385,3317665756
386,3317633326
387,3317610840
388,3317556890
389,3317455585
390,3315953734
391,3315907763
392,3315942871
393,3315887218
394,3378601708
395,3378609852
396,3378547022
397,3378513521
398,3377330694
399,3377066986
400,3375647884
401,3374737613
402,3374732222
403,3374141936
404,3374139785
405,3374057256
406,3373899260
407,3373894255
408,3373801043
409,3373693031
410,3373136241
411,3373028483
412,3372980520
413,3372915148
414,3372788869
415,3372764181
416,3371430568
417,3371402169
418,3367300917
419,3367272706
420,3366774599
421,3366738933
422,3365940294
423,3365692868
424,3365522820
425,3365090561
426,3364172203
427,3364143137
428,3363227097
429,3363175674
430,3363166694
431,3363135702
432,3363101470
433,3363068272
434,3363035454
435,3363040928
436,3363003676
437,3362928438
438,3362875244
439,3362250506
440,3362184446
441,3361501149
442,3360162925
443,3359809679
444,3359762805
445,3359739406
446,3359665397
447,3359611963
448,3358284003
449,3358257602
